Prov,Total Irrigation,Year
BC,233235,2010
BC,234830,2012
BC,276888,2014
BC,363370,2016
BC,744830,2018
BC,277570,2020
AB,498497,2010
AB,1279583,2012
AB,1265576,2014
AB,1424022,2016
AB,1941522,2018
AB,1186028,2020
MB,24606,2010
MB,61793,2012
MB,35716,2014
MB,75589,2016
MB,71806,2018
MB,54330,2020
SK,45423,2010
SK,53966,2012
SK,70234,2014
SK,59734,2016
SK,134523,2018
SK,156164,2020
ON,20375,2010
ON,38409,2012
ON,12800,2014
ON,60771,2016
ON,43400,2018
ON,32263,2020
QC,434,2010
QC,71806,2012
QC,134523,2014
QC,1941522,2016
QC,74483,2018
QC,998,2020
